,disYear,disMonth,disDay,disDayCount,cityCode,citySidoName,citySggName,aptCode,aptName,disQuantity,dayAverQuantity,disCount,dayAverCount
0,2020,06,1,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,722400,180600,483,120
1,2020,06,2,5,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,850200,170040,577,115
2,2020,06,3,5,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,780900,156180,555,111
3,2020,06,4,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,515850,128962,407,101
4,2020,06,5,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,665000,166250,437,109
5,2020,06,6,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,636200,159050,459,114
6,2020,06,7,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,648050,162012,459,114
0,2020,06,1,4,W01,서울특별시,종로구,W01025,운현신화타워,106250,26562,79,19
1,2020,06,2,5,W01,서울특별시,종로구,W01025,운현신화타워,123150,24630,99,19
2,2020,06,3,5,W01,서울특별시,종로구,W01025,운현신화타워,129950,25990,104,20
3,2020,06,4,4,W01,서울특별시,종로구,W01025,운현신화타워,121200,30300,92,23
4,2020,06,5,4,W01,서울특별시,종로구,W01025,운현신화타워,115600,28900,81,20
5,2020,06,6,4,W01,서울특별시,종로구,W01025,운현신화타워,86800,21700,72,18
6,2020,06,7,4,W01,서울특별시,종로구,W01025,운현신화타워,109550,27387,90,22
0,2020,06,1,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1343450,335862,899,224
1,2020,06,2,5,W01,서울특별시,종로구,W01026,무악 현대아파트,1688200,337640,1170,234
2,2020,06,3,5,W01,서울특별시,종로구,W01026,무악 현대아파트,1838200,367640,1327,265
3,2020,06,4,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1175600,293900,819,204
4,2020,06,5,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1187150,296787,904,226
5,2020,06,6,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1070150,267537,850,212
6,2020,06,7,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1306600,326650,903,225
0,2020,06,1,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,554650,138662,332,83
1,2020,06,2,5,W01,서울특별시,종로구,W01027,효성 주얼리시티,605550,121110,419,83
2,2020,06,3,5,W01,서울특별시,종로구,W01027,효성 주얼리시티,547850,109570,363,72
3,2020,06,4,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,319700,79925,236,59
4,2020,06,5,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,353300,88325,225,56
5,2020,06,6,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,354100,88525,268,67
6,2020,06,7,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,460750,115187,317,79
0,2020,06,1,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,2134800,533700,1520,380
1,2020,06,2,5,W01,서울특별시,종로구,W01029,경희궁자이2단지,2555350,511070,1898,379
2,2020,06,3,5,W01,서울특별시,종로구,W01029,경희궁자이2단지,2359250,471850,1790,358
3,2020,06,4,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,1709000,427250,1339,334
4,2020,06,5,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,1875850,468962,1473,368
5,2020,06,6,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,1748700,437175,1350,337
6,2020,06,7,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,1883650,470912,1354,338
0,2020,06,1,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,1215450,303862,907,226
1,2020,06,2,5,W01,서울특별시,종로구,W01030,경희궁자이3단지,1403750,280750,1047,209
2,2020,06,3,5,W01,서울특별시,종로구,W01030,경희궁자이3단지,1290400,258080,991,198
3,2020,06,4,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,995150,248787,742,185
4,2020,06,5,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,1052950,263237,848,212
5,2020,06,6,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,930050,232512,761,190
6,2020,06,7,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,1016350,254087,735,183
0,2020,06,1,4,W01,서울특별시,종로구,W01031,요진쉐레이,10150,2537,6,1
1,2020,06,2,5,W01,서울특별시,종로구,W01031,요진쉐레이,29250,5850,16,3
2,2020,06,3,5,W01,서울특별시,종로구,W01031,요진쉐레이,6300,1260,6,1
3,2020,06,4,4,W01,서울특별시,종로구,W01031,요진쉐레이,19200,4800,13,3
4,2020,06,5,4,W01,서울특별시,종로구,W01031,요진쉐레이,5500,1375,4,1
5,2020,06,6,4,W01,서울특별시,종로구,W01031,요진쉐레이,16250,4062,13,3
6,2020,06,7,4,W01,서울특별시,종로구,W01031,요진쉐레이,4750,1187,3,0
0,2020,06,1,4,W01,서울특별시,종로구,W01032,형인스카이빌,10350,2587,16,4
1,2020,06,2,5,W01,서울특별시,종로구,W01032,형인스카이빌,3900,780,6,1
2,2020,06,3,5,W01,서울특별시,종로구,W01032,형인스카이빌,3750,750,6,1
3,2020,06,4,4,W01,서울특별시,종로구,W01032,형인스카이빌,8000,2000,9,2
4,2020,06,5,4,W01,서울특별시,종로구,W01032,형인스카이빌,5200,1300,5,1
5,2020,06,6,4,W01,서울특별시,종로구,W01032,형인스카이빌,5550,1387,8,2
6,2020,06,7,4,W01,서울특별시,종로구,W01032,형인스카이빌,6350,1587,8,2
0,2020,06,1,4,W01,서울특별시,종로구,W01033,동아아파트,65500,16375,47,11
1,2020,06,2,5,W01,서울특별시,종로구,W01033,동아아파트,58150,11630,47,9
2,2020,06,3,5,W01,서울특별시,종로구,W01033,동아아파트,65750,13150,54,10
3,2020,06,4,4,W01,서울특별시,종로구,W01033,동아아파트,31850,7962,32,8
4,2020,06,5,4,W01,서울특별시,종로구,W01033,동아아파트,49300,12325,38,9
5,2020,06,6,4,W01,서울특별시,종로구,W01033,동아아파트,42500,10625,37,9
6,2020,06,7,4,W01,서울특별시,종로구,W01033,동아아파트,63100,15775,48,12
0,2020,06,1,4,W01,서울특별시,종로구,W01034,하늘터아파트,46850,11712,24,6
1,2020,06,2,5,W01,서울특별시,종로구,W01034,하늘터아파트,34750,6950,25,5
2,2020,06,3,5,W01,서울특별시,종로구,W01034,하늘터아파트,24150,4830,18,3
3,2020,06,4,4,W01,서울특별시,종로구,W01034,하늘터아파트,22250,5562,11,2
4,2020,06,5,4,W01,서울특별시,종로구,W01034,하늘터아파트,36600,9150,24,6
5,2020,06,6,4,W01,서울특별시,종로구,W01034,하늘터아파트,28050,7012,16,4
6,2020,06,7,4,W01,서울특별시,종로구,W01034,하늘터아파트,9550,2387,8,2
0,2020,06,1,4,W01,서울특별시,종로구,W01035,청기와빌라2차,20950,5237,14,3
1,2020,06,2,5,W01,서울특별시,종로구,W01035,청기와빌라2차,38300,7660,28,5
2,2020,06,3,5,W01,서울특별시,종로구,W01035,청기와빌라2차,16250,3250,17,3
